CONCEPT	DOCULECT	IPA	ID
blood	Old_Telugu	net̪ːʊɾu	224
blood	Old_Malayalam	kuɾut̪i	225
blood	Old_Tamil	kuɾut̪i	226
bone	Old_Kannada	elubu	227
bone	Old_Telugu	emʊka	228
bone	Old_Malayalam	elːə	229
bone	Old_Tamil	elumbu	230
fat (noun)	Old_Kannada	koɻbu	231
fat (noun)	Old_Telugu	kɾoʋːu	232
fat (noun)	Old_Malayalam	koɻupːə	233
fat (noun)	Old_Tamil	koɻupːu	234
egg	Old_Kannada	moʈːe	235
egg	Old_Telugu	ɡʊɖːu	236
egg	Old_Malayalam	muʈːa	237
egg	Old_Tamil	muʈːaj	238
horn	Old_Kannada	kombu	239
horn	Old_Telugu	komːu	240
horn	Old_Malayalam	kompə	241
horn	Old_Tamil	koːʈu	242
tail	Old_Kannada	t̪oːka	243
tail	Old_Telugu	t̪oːka	244
tail	Old_Malayalam	ʋaːl	245
tail	Old_Tamil	ʋaːl	246
feather	Old_Kannada	ɡaɾi	247
feather	Old_Telugu	iːka	248
feather	Old_Malayalam	t̪uːʋal	249
feather	Old_Tamil	iraku	250
hair	Old_Kannada	kuːd̪alu	251
hair	Old_Telugu	ʋeɳʈɾʊka	252
hair	Old_Malayalam	kuːn̪t̪al	253
hair	Old_Tamil	kat̪upːu	254
head	Old_Kannada	t̪ale	255
head	Old_Telugu	t̪ala	256
head	Old_Malayalam	t̪ala	257
head	Old_Tamil	t̪alaj	258
ear	Old_Kannada	kiʋi	259
ear	Old_Telugu	t͡ʃeʋi	260
ear	Old_Malayalam	t͡ʃeʋi	261
ear	Old_Tamil	t͡ʃeʋi	262
eye	Old_Kannada	kaɳːu	263
eye	Old_Telugu	kanːu	264
eye	Old_Malayalam	kaɳːə	265
eye	Old_Tamil	kaɳ	266
nose	Old_Kannada	muːɡu	267
nose	Old_Telugu	mʊkːu	268
nose	Old_Malayalam	muːkːə	269
nose	Old_Tamil	muːkːu	270
mouth	Old_Kannada	baːj	271
mouth	Old_Telugu	noːɾu	272
mouth	Old_Malayalam	ʋaːja	273
mouth	Old_Tamil	ʋaːj	274
tooth	Old_Kannada	pal	275
tooth	Old_Telugu	panːu	276
tooth	Old_Malayalam	palːə	277
tooth	Old_Tamil	pal	278
tongue (organ)	Old_Kannada	naːlaɡe	279
tongue (organ)	Old_Telugu	naːlʊka	280
tongue (organ)	Old_Malayalam	n̪aːkːə	281
tongue (organ)	Old_Tamil	n̪aːʋu	282
fingernail	Old_Kannada	uɡuɾ	283
fingernail	Old_Telugu	ɡoːɾu	284
fingernail	Old_Tamil	ukiɾ	285
foot	Old_Kannada	aɖi	286
foot	Old_Telugu	aɖʊɡu	287
foot	Old_Malayalam	aʈi	288
foot	Old_Tamil	aʈi	289
leg	Old_Kannada	kaːl	290
leg	Old_Telugu	kaːlu	291
leg	Old_Malayalam	kaːlə	292
leg	Old_Tamil	kaːl	293
knee	Old_Kannada	maɳɖi	294
knee	Old_Telugu	mroː-	295
knee	Old_Malayalam	muʈːə	296
knee	Old_Tamil	muːʈːu	297
hand	Old_Kannada	kaɪ	298
hand	Old_Telugu	t͡ʃeːji	299
hand	Old_Malayalam	kai̯	300
hand	Old_Tamil	kaj	301
wing	Old_Kannada	rekːe	302
wing	Old_Telugu	rekːa	303
wing	Old_Malayalam	t͡ʃirakə	304
wing	Old_Tamil	irakːaj	305
guts	Old_Kannada	ket͡ʃːu	306
guts	Old_Telugu	pɾeːɡu	307
guts	Old_Malayalam	kuʈal	308
guts	Old_Tamil	kuʈal	309
neck	Old_Kannada	kat̪ːu	310
neck	Old_Telugu	meɖa	311
