CONCEPT	DOCULECT	IPA	ID
foot	Sanskrit	pɐd̪	220
foot	Pali	paːd̪ɐ	221
foot	Middle_Persian	pɑ:j	222
leg	Sanskrit	d͡ʑɐŋɡʱɐ	223
leg	Pali	dʒɐnɡʱaː	224
leg	Middle_Persian	pɑ:j	225
knee	Sanskrit	d͡ʑaːnu	226
knee	Pali	dʒaːnu	227
knee	Middle_Persian	snu:g	228
hand	Sanskrit	ɦɐst̪ɐ	229
hand	Pali	ɦɐt̪ʰːɐ	230
hand	Middle_Persian	dast	231
wing	Sanskrit	pɐkʂɐ	232
wing	Pali	pɐkʰːɐ	233
wing	Middle_Persian	parag	234
guts	Sanskrit	ɐnt̪ɾɐ	235
guts	Pali	ɐnt̪ɐʋɐʈːi	236
guts	Middle_Persian	ɾo:di:g	237
neck	Sanskrit	ɡɐlɐ	238
neck	Pali	giːʋɐ	239
neck	Middle_Persian	gaɾdan	240
back	Sanskrit	pr̩ʂʈʰɐ	241
back	Pali	piʈʰːɐ	242
back	Middle_Persian	puʃt	243
heart	Sanskrit	ɦr̩d̪jɐ	244
heart	Pali	ɦɐd̪ɐjɐ	245
heart	Middle_Persian	dil	246
liver	Sanskrit	jɐkr̩t̪	247
liver	Pali	jɐkɐnɐ	248
liver	Middle_Persian	d͡ʑagaɾ	249
to drink	Sanskrit	pib	250
to drink	Pali	piʋɐ	251
to drink	Middle_Persian	xwɑ:ɾi:	252
to eat	Sanskrit	kʰaːd̪	253
to eat	Pali	ɐd̪e	254
to eat	Middle_Persian	xwaɾ	255
to bite	Sanskrit	d̪ɐʃ	256
to bite	Pali	ɖɐsɐ	257
to bite	Middle_Persian	gazi:	258
to spit	Sanskrit	ʂʈʰiːʋ	259
to spit	Pali	oʈʰːubʱɐ	260
to spit	Middle_Persian	tof	261
to vomit	Sanskrit	ʋɐm	262
to vomit	Pali	ʋɐmɐ	263
to vomit	Middle_Persian	wɑ:mi:	264
to see	Sanskrit	pɐʃ	265
to see	Pali	d̪ɐkʰːɐ	266
to see	Middle_Persian	di:	267
to hear	Sanskrit	ʃr̩ɳu	268
to hear	Pali	suɳaː	269
to hear	Middle_Persian	aʃnu:	270
to know	Sanskrit	d͡ʑaːnɐ	271
to know	Pali	dʒaːnaː	272
to know	Middle_Persian	dɑ:nis	273
to think	Sanskrit	mɐnjɐ	274
to think	Pali	tʃint̪e	275
to think	Middle_Persian	hande:si	276
to smell	Sanskrit	d͡ʑiɡʱɾɐ	277
to smell	Pali	gɐnd̪ʱɐ	278
to smell	Middle_Persian	bo:ji:	279
to fear	Sanskrit	bibʱe	280
to fear	Pali	d̪ɐrɐ	281
to fear	Middle_Persian	taɾsi:	282
